50.60659;30.45436;shop;car;Авто Масло;;
50.44075;30.55263;leisure;ice_rink;Льодовий клуб «Піонер»;;
48.89283;22.40971;tourism;information;Malá Ubľa;;
49.06183;22.68685;tourism;information;Drogowskaz na skrzyżowaniu szlaków;;
49.06833;22.70036;tourism;information;Tablica informacyjna BdPN;;
49.0813;22.75399;tourism;information;Drogowskaz 1h30' Przełęcz Bukowska. 30' Przełęcz Goprowska;;
49.05209;22.77319;tourism;viewpoint;Punkt widokowy;;
56.17019;28.15136;tourism;attraction;Ņeverica / Няверыца / Неверица (LV / BY / RUS);;
55.68065;26.63042;tourism;viewpoint;Liudvinavas;;
48.80823;39.26803;shop;convenience;;;
48.651;39.5303;shop;convenience;;;
48.65625;39.40987;shop;convenience;керченская;керченская.36;
48.56989;39.3401;shop;bicycle;МТВ Луганск;;
48.65628;39.50288;shop;convenience;;;
49.79099;30.89211;shop;convenience;;;
48.29177;25.93442;tourism;museum;Художній музей;;
50.44353;30.48964;shop;supermarket;Фуршет;;
50.44135;30.49989;shop;kiosk;;;
50.45329;30.51831;tourism;hotel;Hyatt Regency Kiev;;
50.43293;30.54168;shop;supermarket;Велика Кишеня;;
50.44894;30.61902;shop;supermarket;Фора;;
50.5191;30.5017;shop;supermarket;Сільпо;Оболонський проспект.36Б;
50.51596;30.50414;shop;supermarket;Господарочка;;
50.44869;30.46051;tourism;museum;Музей НТУУ «КПІ»;;
50.43021;30.54107;sport;attraction;;;
48.52425;39.3565;tourism;hotel;Ініціал;;
50.49633;30.50871;shop;doityourself;Будівельні матеріали;Олександра Архипенка вулиця;
50.49327;30.50867;shop;laundry;;;
50.49518;30.50674;shop;convenience;Обрій;;
50.85679;24.14148;tourism;information;Zosin (PL) - Устилуг (UA);;
44.72785;34.41455;tourism;hotel;;;
48.69904;38.98287;shop;convenience;;;
48.01961;37.78296;shop;supermarket;;;
48.38124;39.14955;shop;convenience;;;
50.43591;30.49203;shop;supermarket;Велика Кишеня;;
49.10421;22.64532;tourism;hostel;Schronisko PTTK Kremenaros;;
48.35621;39.33617;shop;convenience;;;
49.06976;22.54009;tourism;information;Temný vŕšok;;
49.04162;22.51283;amenity;restaurant;Reštaurácia a penzión Kremenec;;
50.43484;30.5295;shop;supermarket;;;
44.60634;33.49219;tourism;hotel;Dolphin;;
48.43103;38.9139;shop;convenience;;;
48.66573;39.50826;shop;convenience;;;
49.10967;22.57385;tourism;information;;;
50.44619;30.62168;shop;doityourself;;;
48.61678;39.44715;shop;convenience;;;
48.24137;39.38878;shop;convenience;;;
48.50621;39.04459;shop;convenience;;;
44.57534;33.52073;shop;supermarket;Лидер;Генерала Острякова проспект.65А;
51.40678;29.45697;tourism;information;Аляксандраўка (BY) - Вільча (UA);;
51.82672;24.31259;tourism;information;Доманове (UA) - Макраны (BY);;
51.55844;23.64348;tourism;information;Тамашоўка (BY) - Пулемець (UA);;
48.38096;38.96064;shop;convenience;;;
48.29384;24.56481;tourism;hotel;Оксамит;Данила Галицького вулиця.31;
48.5032;39.82674;shop;convenience;;;
49.60068;39.99184;tourism;attraction;;;
48.58558;39.51519;shop;convenience;;;
48.44767;25.29015;shop;kiosk;;;
48.44368;25.29025;shop;kiosk;;;
